ID,Label
ID_JIQRVdMI,ECONOMY
ID_JJGWUIcP,HEALTH
ID_JNFKBVSn,ECONOMY
ID_JQoYyhyZ,LAW/ORDER
ID_JUwBXyMo,ARTS AND CRAFTS
ID_JVQjlQlp,LAW/ORDER
ID_JhRAELrS,POLITICS
ID_JlGShLsr,SOCIAL ISSUES
ID_JloZeVqT,RELIGION
ID_JmwTVEFc,HEALTH
ID_JqVQfLOR,ECONOMY
ID_JsKlqGQU,POLITICS
ID_JvrMXfUK,ECONOMY
ID_JxoCnTZy,EDUCATION
ID_JxrMwzFM,WITCHCRAFT
ID_KOheitcn,SOCIAL
ID_KfpbTwuR,SOCIAL ISSUES
ID_KiNTyfWU,SOCIAL
ID_KneGxuEg,RELIGION
ID_KpkDNZxv,RELATIONSHIPS
ID_KplkFCOe,FARMING
ID_KybCveaT,WITCHCRAFT
ID_LDAElJZF,RELIGION
ID_LUtKgGQn,RELIGION
ID_LeDMjFpQ,POLITICS
ID_LgnvOrZR,RELIGION
ID_LmrVfNuZ,FARMING
ID_LtHozHCB,POLITICS
ID_MFbgYKgP,POLITICS
ID_MIveKKMt,CULTURE
ID_MQGAKDDz,ECONOMY
ID_MQHWugZx,POLITICS
ID_MRgtmCeD,POLITICS
ID_MVVPXxjG,SOCIAL
ID_MclKMhyP,SOCIAL ISSUES
ID_MdKsoIHC,HEALTH
ID_MhXpTtdX,LAW/ORDER
ID_MkwfktdW,POLITICS
ID_MlhNAhRm,POLITICS
ID_MmApcVMT,LAW/ORDER
ID_MpMKBVeg,OPINION/ESSAY
ID_MpcVmaXz,ECONOMY
ID_MpgPQiuF,LOCALCHIEFS
ID_MrrPAezD,RELIGION
ID_MwGRLEhB,SPORTS
ID_MxJKiHNr,SOCIAL
ID_MyAxzbte,ARTS AND CRAFTS
ID_NCxrzLnc,SOCIAL ISSUES
ID_NDYxFjoN,ECONOMY
ID_NIriTIzW,LAW/ORDER
ID_NKdAzWYo,POLITICS
ID_NNzLdwDF,FARMING
ID_NSYkdONa,SOCIAL
ID_NUpqNhYa,RELATIONSHIPS
ID_NUzGufvF,SOCIAL
ID_NbckcvSG,RELIGION
ID_NkAxOVtI,POLITICS
ID_NoDFSjzN,OPINION/ESSAY
ID_NqmTxrAa,RELIGION
ID_NvFCWqHe,SOCIAL
ID_OCFIzoSz,LAW/ORDER
ID_OEjosNoR,SOCIAL
ID_OEucZWGC,SOCIAL ISSUES
ID_OGHGylQI,SOCIAL
ID_OHwFDyGr,FARMING
ID_OOhqpUOq,SOCIAL
ID_OSdWloXg,WILDLIFE/ENVIRONMENT
ID_OSdqELEH,POLITICS
ID_OSqLregQ,ECONOMY
ID_OTcHiEnK,SOCIAL
ID_OVsEeYBt,LOCALCHIEFS
ID_OWdnbMbA,HEALTH
ID_OabUIDAU,ECONOMY
ID_OfIKKuML,SOCIAL
ID_OhTcDpdl,SPORTS
ID_OlMYVZHE,RELIGION
ID_OwDYeiEH,SOCIAL
ID_OyCTzBow,SPORTS
ID_PEEqhFJr,SOCIAL
ID_PGjOaWrd,POLITICS
ID_PPnqWfuA,SOCIAL
ID_PRmneDQV,POLITICS
ID_PorNKlIX,HEALTH
ID_PqWhwXkp,LAW/ORDER
ID_PtjshlCW,RELIGION
ID_QEYsaBRz,RELATIONSHIPS
ID_QJBziUDu,ARTS AND CRAFTS
ID_QKhgBmRE,LAW/ORDER
ID_QLJnvhlV,HEALTH
ID_QNmNFRhL,SOCIAL ISSUES
ID_QOqMZwqK,SOCIAL ISSUES
ID_QWVGFbvJ,EDUCATION
ID_QbzBdgMN,POLITICS
ID_QcFxAfPr,HEALTH
ID_QeUNCuEs,SOCIAL
ID_QmpKiqEc,LAW/ORDER
ID_QnUWzadP,SOCIAL
ID_QxfDIqdn,WITCHCRAFT
ID_REUrPtRf,HEALTH
ID_RJytdlRU,RELATIONSHIPS
ID_RNexxswi,WILDLIFE/ENVIRONMENT
ID_RSkvPSfT,HEALTH
ID_RUSykQAH,SOCIAL
ID_RYCUdYWM,SPORTS
ID_RbLGzVAk,HEALTH
ID_RgrOVXtV,LOCALCHIEFS
ID_RkiiZwAC,LOCALCHIEFS
ID_SDxfFUsy,SOCIAL ISSUES
ID_SEQgejmW,ECONOMY
ID_ShsGuVmx,HEALTH
ID_SkRPoSoE,WILDLIFE/ENVIRONMENT
ID_SqFiBheN,RELATIONSHIPS
ID_SvmhUqmE,POLITICS
ID_SzZkVkrs,SOCIAL
ID_TVZujVCn,LAW/ORDER
ID_TYxHKvny,SOCIAL
ID_TanclvfR,SOCIAL
ID_TdgomQuy,LAW/ORDER
ID_TdmTcwyd,OPINION/ESSAY
ID_UKfNRPRA,RELATIONSHIPS
ID_UNpzRUwY,RELATIONSHIPS
ID_UXqRdKCC,POLITICS
ID_UbtGdjCc,POLITICS
ID_UcKskEJQ,SPORTS
ID_UdCMVMtC,SOCIAL ISSUES
ID_UnGBdUES,POLITICS
ID_UuIHYMyj,SOCIAL
ID_UugFtnUZ,POLITICS
ID_UvDKOYne,RELIGION
ID_VAqGeHUm,HEALTH
ID_VCqaBUWB,SOCIAL ISSUES
ID_VQXUAxNz,SOCIAL
ID_VZwNttAt,EDUCATION
ID_ViBSsdnw,ECONOMY
ID_VjdwgUIQ,SOCIAL ISSUES
ID_Voggjdyn,LOCALCHIEFS
ID_VrwBnJLA,HEALTH
ID_WBHfeSDY,SPORTS
ID_WEnZGHPW,SOCIAL ISSUES
ID_WIsqiMIA,SOCIAL
ID_WLzItPlz,SOCIAL
ID_WQxmUyNV,POLITICS
ID_WRLCvEYf,HEALTH
ID_WRrjKeev,RELIGION
ID_WUGNNIho,LOCALCHIEFS
ID_WWeYdMfE,SOCIAL ISSUES
ID_WdZkZlhp,LAW/ORDER
ID_WfmIaZSt,POLITICS
ID_WhkkOzQZ,HEALTH
ID_WkkXMhGB,RELIGION
ID_WmVIvpKr,POLITICS
ID_WptnlaNE,OPINION/ESSAY
ID_WsJANeZd,SOCIAL
ID_WvowCxUx,LAW/ORDER
ID_WzGTciJE,EDUCATION
ID_WzondryR,FARMING
ID_XECzcFUd,HEALTH
ID_XOcdYOGH,RELATIONSHIPS
ID_XPlOMmFW,POLITICS
ID_XTPBHoeT,LAW/ORDER
ID_XZLqOzJy,LOCALCHIEFS
ID_XbBHIVeL,SOCIAL
ID_XgZHGzNj,MUSIC
ID_XhBhqCuL,RELATIONSHIPS
ID_XrEQVcDN,LOCALCHIEFS
ID_YNBpMXQT,RELIGION
ID_YdTnzXtK,ARTS AND CRAFTS
ID_YdeglMpo,LAW/ORDER
ID_YfvuQVnu,FARMING
ID_YhmxjqFW,POLITICS
ID_YteIqBhn,SOCIAL ISSUES
ID_YtgrITJx,RELIGION
ID_YxkWkASG,SOCIAL
ID_ZFmLwcco,MUSIC
ID_ZHOOyVKY,POLITICS
ID_ZItrHGDM,CULTURE
ID_ZLQGiOUu,POLITICS
ID_ZNUdqUBT,HEALTH
ID_ZVRLnJVp,POLITICS
ID_ZWuiBPai,LAW/ORDER
ID_ZdjYmgYS,MUSIC
ID_ZeRQSkYm,SOCIAL
ID_ZtQGPjkA,SOCIAL
ID_ZtjabGBK,SOCIAL
ID_ZuSVRPGA,WITCHCRAFT
ID_aCTTSnJV,FARMING
ID_aEcMoGxq,LAW/ORDER
ID_aOfQGIRO,FLOODING
ID_aWgTcIRK,ECONOMY
ID_aZFpXpPA,LAW/ORDER
ID_aeskGsUx,SPORTS
ID_ahkRRIqa,OPINION/ESSAY
ID_aoLpuvJR,RELIGION
ID_aqhjMwnV,POLITICS
ID_azbVcAzy,POLITICS
ID_bEoLYYGX,SOCIAL ISSUES
ID_bGbndqcI,ECONOMY
ID_bIWlbHVC,ECONOMY
ID_bMpMazLm,LAW/ORDER
ID_bZleAkmX,WILDLIFE/ENVIRONMENT
ID_bdgzMiJv,ARTS AND CRAFTS
ID_beZylagp,RELIGION
ID_bxSSTKVw,FARMING
ID_cEFMRawn,SOCIAL
ID_cSduPYYR,POLITICS
ID_cVAHPaJJ,FARMING
ID_cXNrXsPl,SOCIAL ISSUES
ID_cccVBGHq,RELIGION
ID_cgrjHlWM,CULTURE
ID_chVAnIhJ,RELIGION
ID_cwIyimGc,RELIGION
ID_dKMSTGdU,CULTURE
ID_dOAFLXgP,SOCIAL
ID_dTXiIwhg,EDUCATION
ID_dVzQDWRr,SOCIAL ISSUES
ID_dXQrLBVZ,ECONOMY
ID_dZjXsMob,SOCIAL ISSUES
ID_dbRCbVkn,ECONOMY
ID_ddcwZQBK,MUSIC
ID_dhHWslsu,POLITICS
ID_djvOzqFd,HEALTH
ID_dlcQKKYZ,SOCIAL
ID_dqZNTDHZ,HEALTH
ID_dqeRIKlH,RELIGION
ID_dvTDLjST,SOCIAL
ID_dzNaTOqi,OPINION/ESSAY
ID_eCJzliVf,SOCIAL
ID_eDFJDedq,RELIGION
ID_eHhCyJBJ,SOCIAL ISSUES
ID_eJpJZzoj,ECONOMY
ID_eMurEQxw,POLITICS
ID_eQuoXYHR,RELATIONSHIPS
ID_eRIJbvjx,LAW/ORDER
ID_eROQZnRL,ECONOMY
ID_eTAeDJqT,SOCIAL ISSUES
ID_eVApiFho,ECONOMY
ID_eVCGhPAn,SOCIAL ISSUES
ID_eZdcVolL,HEALTH
ID_eaTqdPbI,LAW/ORDER
ID_efEfgKzW,RELIGION
ID_efSzcmaq,SOCIAL
ID_elLSceTJ,FARMING
ID_eoWzqYeA,POLITICS
ID_esUSgdIC,RELIGION
ID_eyAVetOA,SOCIAL
ID_fGEmVPhR,FARMING
ID_fJpeCdHA,FARMING
ID_fMgSPhqc,FARMING
ID_fPhetAXQ,SOCIAL ISSUES
ID_fTVMsJSG,SOCIAL
ID_fUBTaMXV,POLITICS
ID_fUGOfLoh,SOCIAL ISSUES
ID_fXmkzAYe,LAW/ORDER
ID_fmWzbvhe,SOCIAL ISSUES
ID_fqvJPmqI,SOCIAL
ID_frLAzzlY,HEALTH
ID_fuwSgsSB,LAW/ORDER
ID_fwJulVcU,POLITICS
ID_fwnlFMCa,POLITICS
ID_gNnORoJy,POLITICS
ID_gQUKBvSd,SPORTS
ID_gWypxzeL,SOCIAL ISSUES
ID_gXoNxZxq,LOCALCHIEFS
ID_gdSGsoTn,ECONOMY
ID_gggBcgSt,SOCIAL
ID_glZTFNJf,LAW/ORDER
ID_goBLpsZg,LAW/ORDER
ID_gpwWjPsD,SOCIAL
ID_gzOZEksr,POLITICS
ID_hBiabWXV,WILDLIFE/ENVIRONMENT
ID_hEEYhyha,POLITICS
ID_hSmKRoTK,SOCIAL ISSUES
ID_hXQNnZDV,LAW/ORDER
ID_hXrMYaWo,LAW/ORDER
ID_hkJRNBdG,RELIGION
ID_hldteXlS,HEALTH
ID_hlksDjgM,HEALTH
ID_hsHNhqWw,ECONOMY
ID_hsbFGmtW,POLITICS
ID_htipzLng,HEALTH
ID_hxRcQKLG,WILDLIFE/ENVIRONMENT
ID_iAgaGHwE,RELATIONSHIPS
ID_iBojkdeF,EDUCATION
ID_iIjMKMRc,SOCIAL
ID_iMhZmFns,POLITICS
ID_iPNQDyvG,POLITICS
ID_iRRSzuRE,FARMING
ID_iTNHXzjj,HEALTH
ID_iUeUIXZM,SOCIAL ISSUES
ID_iobpMUaj,POLITICS
ID_iuBoGzNS,SOCIAL
ID_ixCVLknP,RELIGION
ID_ixLcdBaj,HEALTH
ID_jAVyECzv,HEALTH
ID_jAsEvVyG,RELIGION
ID_jGADcQne,RELIGION
ID_jMGffZTX,LAW/ORDER
ID_jPBfsXEX,RELIGION
ID_jWbXIFhV,POLITICS
ID_jfAJRaeP,POLITICS
ID_jkuLmbib,LAW/ORDER
ID_jsfnbbTP,LAW/ORDER
ID_jusWJbGn,POLITICS
ID_kChpRIzG,LAW/ORDER
ID_kDfBKwSh,ECONOMY
ID_kGfpruTz,LAW/ORDER
ID_kLtrMnln,ECONOMY
ID_kOIKAGGq,RELIGION
ID_kQAkQkYd,RELIGION
ID_kafJTNBV,POLITICS
ID_khgBKEOc,LAW/ORDER
ID_kllGikKe,POLITICS
ID_lAMEhYLJ,LAW/ORDER
ID_lHMwXkLK,RELIGION
ID_lMJcbqWV,HEALTH
ID_lPYiWTXw,OPINION/ESSAY
ID_lUitoSgy,HEALTH
ID_lUkdxrOl,FARMING
ID_lYTFJVVU,SOCIAL
ID_lfKzquJV,HEALTH
ID_lkjZNmwo,ECONOMY
ID_mAKzuREI,ECONOMY
ID_mGOLpIoE,CULTURE
ID_mKaODodw,POLITICS
ID_mOCtJtiq,CULTURE
ID_mTWJYvLi,SOCIAL
ID_maHxAUrj,POLITICS
ID_mjniZWfY,POLITICS
ID_mlHYFmrJ,POLITICS
ID_mnWXryCN,SPORTS
ID_mrAezJvz,WILDLIFE/ENVIRONMENT
ID_mrhOiQSn,RELIGION
ID_msCwNErW,SOCIAL ISSUES
ID_mtJAQpaJ,ECONOMY
ID_nBcSHBRO,SPORTS
ID_nFaCyCzz,POLITICS
ID_nJOjxdgR,POLITICS
ID_nLKyfYhG,SOCIAL ISSUES
ID_nPJYbrvt,ARTS AND CRAFTS
ID_nTTsgmEx,SOCIAL
ID_nTnAitVP,POLITICS
ID_nUeZEWcD,POLITICS
ID_nXIjVrhy,LOCALCHIEFS
ID_narjsJXf,WITCHCRAFT
ID_nhzBeIzf,ARTS AND CRAFTS
ID_njtuboUz,WILDLIFE/ENVIRONMENT
ID_nmjEsPxW,HEALTH
ID_npVkKVxX,SOCIAL
ID_nwWsswqZ,EDUCATION
ID_nyAesysa,POLITICS
ID_nzCUgwKI,HEALTH
ID_oIBqvjtQ,SOCIAL ISSUES
ID_oLiOoGZT,FARMING
ID_oOFBnFdh,POLITICS
ID_oPLTMqit,POLITICS
ID_obZAXGDj,ECONOMY
ID_ocHGDyah,ECONOMY
ID_otQVLfxq,RELATIONSHIPS
ID_ovMLiNyc,SOCIAL
ID_pAKwJwei,SOCIAL
ID_pBOZOMxp,LAW/ORDER
ID_pIjgTXQE,POLITICS
ID_pOBxbmVT,LAW/ORDER
ID_pSPOPvZB,OPINION/ESSAY
ID_pVOYlegr,ECONOMY
ID_pXqtKtzb,ECONOMY
ID_pYHUwiJY,RELIGION
ID_padldKQh,RELIGION
ID_pcjOXdqH,SOCIAL
ID_pfPSFcSL,SOCIAL
ID_piZxambP,EDUCATION
ID_pqokbYlh,EDUCATION
ID_qDcGsRYH,LAW/ORDER
ID_qFaSwbLt,RELIGION
ID_qHftBJKS,RELIGION
ID_qOuLBzgl,SOCIAL
ID_qPSOUOBY,SOCIAL
ID_qSPwARVY,WITCHCRAFT
ID_qTumZJuG,WILDLIFE/ENVIRONMENT
ID_qgwDwsXW,LAW/ORDER
ID_qhUCDvHo,SPORTS
ID_qklGQnfO,POLITICS
ID_qopAfEMo,SOCIAL ISSUES
ID_quXFRPkA,POLITICS
ID_rIkPdtZy,LOCALCHIEFS
ID_rNrmXOGD,ECONOMY
ID_rOtYYSNZ,FARMING
ID_rQcEDOqz,HEALTH
ID_rczRHtLP,LAW/ORDER
ID_rdhYekQn,ECONOMY
ID_rfNFssik,FARMING
ID_rgDYRbII,ARTS AND CRAFTS
ID_rgdmGEWz,RELIGION
ID_rgjPjUJi,FARMING
ID_rkAaKYoj,ECONOMY
ID_rniUkWzB,RELIGION
ID_rsdvpMil,WILDLIFE/ENVIRONMENT
ID_rvMwCicu,POLITICS
ID_rwOcqJoF,HEALTH
ID_rwlbHAne,RELATIONSHIPS
ID_sCqabvWj,SOCIAL
ID_sDfvscvw,SPORTS
ID_sQaPRMWO,ARTS AND CRAFTS
ID_sSTjMIqJ,RELIGION
ID_sTAMrcDd,SOCIAL
ID_sbIFnYRi,SOCIAL
ID_scNLzXJv,EDUCATION
ID_sdCEjwuQ,SOCIAL ISSUES
ID_sdDMZWhF,POLITICS
ID_sluGXbji,HEALTH
ID_ssCJOFsW,ECONOMY
ID_stlmPpMa,FARMING
ID_svdCUWNM,SOCIAL ISSUES
ID_svwkzBOi,SOCIAL
ID_tFfiDEWd,SOCIAL
ID_tOQLbiJb,POLITICS
ID_tPdscofA,RELIGION
ID_tVKoJeyj,SOCIAL
ID_tVfxqwwV,FARMING
ID_tjcAiuSC,WILDLIFE/ENVIRONMENT
ID_tmrojzuW,POLITICS
ID_tqzFuBeq,LOCALCHIEFS
ID_tunUmsSl,POLITICS
ID_twRjrvPw,RELIGION
ID_tweFxSFy,POLITICS
ID_txvYoPIj,WILDLIFE/ENVIRONMENT
ID_uAjkiWEM,WILDLIFE/ENVIRONMENT
ID_uIisDYtF,FARMING
ID_uXwztWFn,SOCIAL ISSUES
ID_ucaXQrMv,ECONOMY
ID_uelRAIMS,SOCIAL
ID_uiuetMCq,ECONOMY
ID_umEygTdl,RELIGION
ID_umjjRknq,SOCIAL
ID_uoLJnghI,SOCIAL ISSUES
ID_uxPzkAEu,RELIGION
ID_vCYoSXHp,SOCIAL
ID_vMdHCDxM,HEALTH
ID_vOEutmyB,ARTS AND CRAFTS
ID_vOiLkjoQ,RELIGION
ID_vPDiRoDD,RELATIONSHIPS
ID_vPtlcBcC,RELATIONSHIPS
ID_vaAVQglJ,POLITICS
ID_vqiKShpI,LOCALCHIEFS
ID_vqupvNVT,POLITICS
ID_vrcLmgKc,POLITICS
ID_wCFZNHXe,SOCIAL ISSUES
ID_wELWVzJT,RELIGION
ID_wGIUvHRj,POLITICS
ID_wInszHyR,POLITICS
ID_wLzKfBrB,ECONOMY
ID_wOzwFrCO,RELIGION
ID_wPNZsraS,POLITICS
ID_wUCQIOvV,SOCIAL
ID_wUIixNLG,SOCIAL ISSUES
ID_wZwFHzTC,SOCIAL ISSUES
ID_wcXZqTdT,SOCIAL
ID_weaDFYvf,SOCIAL
ID_whKWZzoj,ECONOMY
ID_wlmfUEjb,SOCIAL
ID_wnFvLhBU,POLITICS
ID_wrIvLKVk,RELIGION
ID_wzHUhldy,ARTS AND CRAFTS
ID_xDHFcJwA,POLITICS
ID_xJeJBNxt,FARMING
ID_xLCxooCQ,LAW/ORDER
ID_xLIFGqXt,SPORTS
ID_xOPvEpYq,POLITICS
ID_xatsHGtL,LAW/ORDER
ID_xbRPzvVh,RELIGION
ID_xeKzHcbE,SOCIAL ISSUES
ID_xgsSIzNb,POLITICS
ID_xwCEXqpz,SPORTS
ID_xwknnGqq,SOCIAL ISSUES
ID_xwmQQjyu,POLITICS
ID_xxYXdaqw,SOCIAL ISSUES
ID_xzHsFQMg,ECONOMY
ID_yAfbGWkd,SOCIAL
ID_yBiCuCqp,SOCIAL
ID_yKabBqjW,ECONOMY
ID_yLlttryD,SPORTS
ID_yOQNyHjE,OPINION/ESSAY
ID_yPLbZVkn,RELIGION
ID_yTNYSlNX,FARMING
ID_yfISBTjE,POLITICS
ID_yiVknFsb,SOCIAL ISSUES
ID_ylZzFewW,SOCIAL
ID_yqUnIvav,SPORTS
ID_yuKPTDnK,SOCIAL ISSUES
ID_zCAXhuXR,ECONOMY
ID_zGoTzrga,WITCHCRAFT
ID_zIgwtvGj,CULTURE
ID_zNisxgGw,ECONOMY
ID_zUmFzwBT,POLITICS
ID_zZEXtjvh,LAW/ORDER
ID_zdpOUWyJ,LAW/ORDER
ID_zhnOomuu,RELATIONSHIPS
ID_zmWHvBJb,LAW/ORDER
ID_zphjdFIb,SOCIAL ISSUES
ID_ztdtrNxt,POLITICS
